image_number,image_name,pixel_diff,centroid_diff,gradient_diff,thickness_diff,total_diff
93,93_binary_borders.png,0.8330232970147932,0.4191085219417095,0.4081383840700101,0.7249126310534199,0.5962957085199831
94,94_binary_borders.png,0.4595624058818319,0.1984390139678578,0.303965119686138,0.12221667498751872,0.2710458036308366
95,95_binary_borders.png,0.3607936929754628,0.3594941690497425,0.3810841600505665,0.06879680479281078,0.29254220671714565
96,96_binary_borders.png,0.31331384533616796,0.22560825734778023,0.3899190900574246,0.15287069395906142,0.27042797167510857
97,97_binary_borders.png,0.3014438834263442,0.22945474265070168,0.36005763945208835,0.15506739890164753,0.2615059161076954
98,98_binary_borders.png,0.253343963149969,0.14068197640020016,0.4717728707615397,0.24303544682975536,0.27720856428536605
99,99_binary_borders.png,0.2544069448135353,0.13908087619495219,0.38922000748983787,0.19970044932601097,0.24560206945608407
100,100_binary_borders.png,0.55930551864647,0.0,0.25980600408664334,0.28297553669495756,0.27552176485701774
101,101_binary_borders.png,0.72176454956152,0.11844706967661311,0.2142213755140142,0.40079880179730404,0.36380794913736286
102,102_binary_borders.png,0.6444326335370715,0.11920540819938372,0.17622318068496456,0.31502745881178235,0.3137221703083005
103,103_binary_borders.png,0.7361148020196652,0.19755064616293622,0.2528700254207977,0.4275586620069895,0.40352353390259715
104,104_binary_borders.png,0.44034015413234123,0.1906556220414303,0.3186026392199162,0.010484273589615577,0.24002067224582582
